user_id,date,whoop_recovery,whoop_strain,whoop_hrv,whoop_sleep_score,notes,strain_flag_invalid,recovery_flag_invalid,sleep_flag_invalid,hrv_flag_invalid
JZA7TZ0YNCXL,2024-01-01,73.0,9.04,60.0,76.0,,0,0,0,0
JZA7TZ0YNCXL,2024-01-02,,8.41,66.0,88.0,,0,0,0,0
JZA7TZ0YNCXL,2024-01-03,70.0,7.81,58.0,64.0,,0,0,0,0
JZA7TZ0YNCXL,2024-01-04,61.0,3.3,51.0,84.0,late meal,0,0,0,0
JZA7TZ0YNCXL,2024-01-05,58.0,6.94,79.0,79.0,,0,0,0,0
JZA7TZ0YNCXL,2024-01-06,73.0,1.3,64.0,84.0,,0,0,0,0
JZA7TZ0YNCXL,2024-01-08,82.0,5.58,36.0,84.0,alcohol,0,0,0,0
JZA7TZ0YNCXL,2024-01-09,,5.77,55.0,80.0,late meal,0,0,0,0
JZA7TZ0YNCXL,2024-01-11,43.0,,55.0,89.0,,0,0,0,0
JZA7TZ0YNCXL,2024-01-12,66.0,8.7,62.0,72.0,late meal,0,0,0,0
JZA7TZ0YNCXL,2024-01-13,67.0,1.09,73.0,80.0,,0,0,0,0
JZA7TZ0YNCXL,2024-01-14,90.0,3.17,44.0,85.0,travel,0,0,0,0
JZA7TZ0YNCXL,2024-01-15,54.0,,70.0,,,0,0,0,0
JZA7TZ0YNCXL,2024-01-16,50.0,9.55,78.0,75.0,travel,0,0,0,0
JZA7TZ0YNCXL,2024-01-17,93.0,,77.0,91.0,late meal,0,0,0,0
JZA7TZ0YNCXL,2024-01-18,,6.97,,,alcohol,0,0,0,0
JZA7TZ0YNCXL,2024-01-19,74.0,0.53,62.0,68.0,alcohol,0,0,0,0
JZA7TZ0YNCXL,2024-01-20,75.0,3.26,77.0,84.0,,0,0,0,0
JZA7TZ0YNCXL,2024-01-21,70.0,1.66,83.0,86.0,sick,0,0,0,0
JZA7TZ0YNCXL,2024-01-23,54.0,5.86,68.0,73.0,,0,0,0,0
JZA7TZ0YNCXL,2024-01-24,69.0,11.42,77.0,88.0,,0,0,0,0
JZA7TZ0YNCXL,2024-01-25,59.0,5.14,71.0,64.0,travel,0,0,0,0
JZA7TZ0YNCXL,2024-01-26,83.0,9.32,45.0,84.0,alcohol,0,0,0,0
